dataset,model,method,fraction,subset_size,selection_time,training_time,total_time,accuracy,log_loss,speedup
synthetic,LogisticRegression,full,1.0,3750,0.0,0.027756214141845703,0.027756214141845703,0.8192,0.41800017261097727,1.0
synthetic,LogisticRegression,random,0.05,187,0.0,0.012107372283935547,0.012107372283935547,0.7824,0.5134004281246528,2.2925052183844667
synthetic,LogisticRegression,random,0.1,375,0.0,0.009976625442504883,0.009976625442504883,0.804,0.4647365480488657,2.782124507109571
synthetic,LogisticRegression,random,0.2,750,0.0,0.011739730834960938,0.011739730834960938,0.8088,0.43660694662999777,2.36429731925264
synthetic,LogisticRegression,random,0.3,1125,0.0,0.011779546737670898,0.011779546737670898,0.8184,0.42640505775766485,2.356305786629425
synthetic,LogisticRegression,random,0.5,1875,0.0,0.01406717300415039,0.01406717300415039,0.8216,0.42011340683502113,1.9731195552693128
